22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
8,8,8,8,8,8,8,8,8,8,22,22,22,22,22,32
8,8,8,8,8,8,8,8,8,8,22,22,22,22,32,32
22,22,22,22,22,22,22,8,8,8,22,22,22,22,32,32
22,22,22,22,22,22,22,8,8,8,22,22,22,22,32,32
22,22,22,22,22,22,22,8,8,8,22,22,22,22,32,32
22,22,22,22,22,22,22,8,8,8,22,22,22,22,22,22
22,22,22,22,22,22,22,8,8,8,22,22,22,22,22,22
