22,22,22,22,37,38,38,38,39,22,22,22,25,26,26,26
22,22,22,22,22,22,22,22,22,22,22,24,31,32,32,32
22,22,22,22,22,22,22,22,22,22,22,36,31,32,32,32
22,22,22,22,22,22,22,22,22,22,22,22,37,38,29,32
22,22,22,22,22,22,22,22,22,22,22,22,22,42,31,32
2,2,2,2,2,2,2,2,2,3,22,22,22,25,35,25
14,14,14,14,14,14,14,5,8,9,22,22,22,31,25,35
22,22,22,22,22,22,22,7,8,9,22,22,25,35,31,32
22,22,22,22,22,22,22,7,8,9,22,22,31,32,31,32
22,22,22,22,22,22,22,7,8,9,22,22,31,32,37,38
22,22,22,22,22,22,22,7,8,9,22,22,31,32,32,32
22,22,22,22,22,22,22,7,8,9,22,42,37,38,38,38
